cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Space Mambo,1,Secret Rare,1st Edition,Nemesis Thanks You,DR3-EN121,36119641,36119641
Wattuna,1,Secret Rare,1st Edition,Nemesis Thanks You,AGOV-EN015,10113611,10113611
Queen Butterfly Danaus,1,Secret Rare,1st Edition,Nemesis Thanks You,PHHY-EN094,13302026,13302026
Ichiki Sayori-Hime,1,Secret Rare,1st Edition,Nemesis Thanks You,DOOD-EN030,9627299,9627299
Zombie Master,1,Secret Rare,1st Edition,Nemesis Thanks You,GLD5-EN019,17259470,17259470
Blue Flame Swordsman,1,Secret Rare,1st Edition,Nemesis Thanks You,LC04-EN001,50903514,50903514
Genex Ally Birdman,1,Secret Rare,1st Edition,Nemesis Thanks You,BLTR-EN057,64034255,64034255
Wind-Up Kitten,1,Secret Rare,1st Edition,Nemesis Thanks You,MAZE-EN041,25716180,25716180
Fabled Kushano,1,Secret Rare,1st Edition,Nemesis Thanks You,DT02-EN064,97439806,97439806
Krawler Dendrite,1,Secret Rare,1st Edition,Nemesis Thanks You,CIBR-EN021,46083111,46083111
Serene Psychic Witch,1,Secret Rare,1st Edition,Nemesis Thanks You,AP03-EN004,98358303,98358303
Valkyrion the Magna Warrior,1,Secret Rare,1st Edition,Nemesis Thanks You,LCYW-EN021,75347539,75347539
"Paces, Light of the Ghoti",1,Secret Rare,1st Edition,Nemesis Thanks You,POTE-EN086,46037983,46037983
D.D.R. - Different Dimension Reincarnation,1,Secret Rare,1st Edition,Nemesis Thanks You,SDCR-EN025,9622164,9622164
