cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Fire_1,1,Rare,1st Edition,Fire,SR07-EN003,92964816,179256
Fire_2,1,Super Rare,1st Edition,Fire,SR07-EN016,63665875,179269
Fire_3,1,Rare,1st Edition,Fire,CSOC-EN095,23116808,28488
Fire_4,1,Secret Rare,1st Edition,Fire,SOFU-EN030,17535764,177992
Fire_5,1,Rare,1st Edition,Fire,YGLD-ENC26,75500286,108310
Fire_6,1,Rare,Unlimited,Fire,OP12-EN004,36584821,205791
Fire_7,1,Common,1st Edition,Fire,DAMA-EN011,24639891,245706
Fire_8,1,Common,1st Edition,Fire,IOC-032,35762283,23119
Fire_9,1,Common,1st Edition,Fire,SGX3-ENC12,34761062,489422
Fire_10,1,Rare,1st Edition,Fire,DP06-EN025,85854214,32183
Fire_11,1,Common,1st Edition,Fire,LTGY-EN078,32542011,68152
Fire_12,1,Super Rare,1st Edition,Fire,DUNE-EN026,76615300,504775
Fire_13,1,Common,1st Edition,Fire,SDCH-EN003,759393,224968
Fire_14,1,Rare,1st Edition,Fire,PGL3-EN034,98069388,115818
Fire_15,1,Common,1st Edition,Fire,SOD-EN025,93107608,23370
Fire_16,1,Common,1st Edition,Fire,SESL-EN046,70595331,211652
Fire_17,1,Secret Rare,1st Edition,Fire,DUNE-EN013,53404966,504736
Fire_18,1,Common,1st Edition,Fire,PSV-068,96965364,22099
Fire_19,1,Common,Unlimited,Fire,OP04-EN026,79161790,130010
Fire_20,1,Super Rare,1st Edition,Fire,SOI-EN053,71587526,24900
Fire_21,1,Common,1st Edition,Fire,CIBR-EN021,46083111,148302
Fire_22,1,Secret Rare,1st Edition,Fire,DUNE-EN083,87837090,504972
Fire_23,1,Common,1st Edition,Fire,ABPF-EN071,81128478,34574
Fire_24,1,Common,1st Edition,Fire,PHSW-EN092,31632536,57352
Fire_25,1,Common,1st Edition,Fire,PHSW-EN094,123709,57354
Fire_26,1,Super Rare,1st Edition,Fire,SR06-EN000,23898021,165461
Fire_27,1,Rare,1st Edition,Fire,LODT-EN063,27551,26757
Fire_28,1,Common,1st Edition,Fire,ABYR-EN076,96474800,67278
Fire_29,1,Common,1st Edition,Fire,SS01-ENA17,77414722,183733
Fire_30,1,Common,1st Edition,Fire,SDRL-EN032,1224927,26241
Fire_31,1,Common,1st Edition,Fire,SBSC-EN033,28933734,196220
Fire_32,1,Common,1st Edition,Fire,SGX1-END20,34815282,266284
Fire_33,1,Super Rare,1st Edition,Fire,YGLD-ENA37,44095762,108239
Fire_34,1,Common,Unlimited,Fire,OP01-EN024,43040603,115976
Fire_35,1,Rare,Unlimited,Fire,OP10-EN021,69279219,188943
Fire_36,1,Common,1st Edition,Fire,HAC1-EN108,42110434,265007
Fire_37,1,Rare,1st Edition,Fire,HAC1-EN116,60668166,265033
Fire_38,1,Common,1st Edition,Fire,HAC1-EN070,2377034,264906
Fire_39,1,Rare,1st Edition,Fire,DANE-EN014,816427,189369
Fire_40,1,Common,Unlimited,Fire,DEM2-EN013,4335645,145547
Fire_41,1,Rare,1st Edition,Fire,SDSE-EN032,89882100,103938
Fire_42,1,Rare,1st Edition,Fire,ABYR-EN086,83438826,67289
Fire_43,1,Common,1st Edition,Fire,PSV-035,17449108,22268
Fire_44,1,Super Rare,1st Edition,Fire,BLTR-EN026,74055055,554879
Fire_45,1,Common,1st Edition,Fire,SDSE-EN031,2295440,103937
Fire_46,1,Rare,1st Edition,Fire,INOV-EN065,64014615,124769
Fire_47,1,Rare,1st Edition,Fire,ABPF-EN053,90246973,34556
Fire_48,1,Rare,1st Edition,Fire,PHRA-EN024,9798352,226176
Fire_49,1,Common,1st Edition,Fire,SR07-EN015,77044671,179268
Fire_50,1,Ultra Rare,1st Edition,Fire,BOSH-EN076,40838625,111175
Fire_51,1,Common,1st Edition,Fire,PGL3-EN080,58577036,115865
Fire_52,1,Rare,1st Edition,Fire,COTD-EN078,96404912,139251
Fire_53,1,Super Rare,1st Edition,Fire,SDSE-EN028,32807846,103934
Fire_54,1,Rare,1st Edition,Fire,BLCR-EN082,5309481,453796
Fire_55,1,Rare,1st Edition,Fire,RIRA-EN053,66947913,194661
Fire_56,1,Ultra Rare,1st Edition,Fire,ETCO-EN081,29177818,213377
Fire_57,1,Common,1st Edition,Fire,CSOC-EN000,1557341,28393
Fire_58,1,Rare,Unlimited,Fire,DEM2-EN018,56120475,145552
Fire_59,1,Common,1st Edition,Fire,LDK2-ENJ27,32268901,123594
Fire_60,1,Super Rare,1st Edition,Fire,MZMI-EN007,9102835,532209
Fire_61,1,Rare,1st Edition,Fire,MZMI-EN002,37531679,532202
Fire_62,1,Common,1st Edition,Fire,DPRP-EN038,26202165,122977
Fire_63,1,Rare,Limited,Fire,SHVI-ENSE4,67284107,119259
Fire_64,1,Rare,1st Edition,Fire,PGL3-EN043,84764038,115827
Fire_65,1,Rare,1st Edition,Fire,ALIN-EN069,65114115,629460
Fire_66,1,Common,1st Edition,Fire,SS01-ENA18,3819470,183734
Fire_67,1,Common,1st Edition,Fire,SS01-ENV01,33904024,183714
Fire_68,1,Common,1st Edition,Fire,IGAS-EN092,4148264,207976
Fire_69,1,Ultra Rare,1st Edition,Fire,BOSH-EN054,83283063,111153
Fire_70,1,Common,1st Edition,Fire,BOSH-EN032,62038047,111131
Fire_71,1,Secret Rare,1st Edition,Fire,BOSH-EN031,36630403,111130
Fire_72,1,Rare,1st Edition,Fire,BOSH-EN033,99423156,111132
Fire_73,1,Common,1st Edition,Fire,SAST-EN040,26326541,184146
Fire_74,1,Common,1st Edition,Fire,MIL1-EN018,55713623,116966
Fire_75,1,Common,1st Edition,Fire,SR07-EN014,65422840,179267
Fire_76,1,Common,1st Edition,Fire,IOC-093,97169186,23180
Fire_77,1,Rare,1st Edition,Fire,INOV-EN000,92092092,124698
Fire_78,2,Super Rare,1st Edition,Fire,JOTL-EN047,41517789,70845
Fire_79,1,Ultra Rare,1st Edition,Fire,PGL3-EN005,64880894,115789
Fire_80,1,Rare,Limited,Fire,WC10-EN003,86137485,35329
Fire_81,1,Rare,1st Edition,Fire,TOCH-EN013,54485355,215389
Fire_82,1,Common,1st Edition,Fire,YGLD-ENA06,70781055,108208
Fire_83,1,Common,1st Edition,Fire,RGBT-EN079,10651797,31922
Fire_84,1,Common,1st Edition,Fire,SDSE-EN016,18964575,103922
Fire_85,1,Common,1st Edition,Fire,GAOV-EN085,64892035,59083
Fire_86,1,Super Rare,1st Edition,Fire,HISU-EN034,4103668,180360
Fire_87,1,Ultra Rare,1st Edition,Fire,CYHO-EN022,48468330,170615
Fire_88,1,Rare,1st Edition,Fire,SR13-EN045,33017655,454882
Fire_89,1,Common,1st Edition,Fire,SS01-ENV02,42671151,183715
Fire_90,1,Super Rare,1st Edition,Fire,DIFO-EN003,84332527,271642
Fire_91,1,Super Rare,1st Edition,Fire,SR01-EN008,26205777,111656
Fire_92,1,Super Rare,1st Edition,Fire,BROL-EN070,70780151,256361
Fire_93,1,Common,1st Edition,Fire,YS16-EN037,36361633,118471
Fire_94,1,Rare,1st Edition,Fire,SDBT-EN023,12801833,483635
Fire_95,1,Common,1st Edition,Fire,SDBT-EN001,49027020,483631
Fire_96,1,Common,Unlimited,Fire,COTD-EN032,45221020,139196
Fire_97,1,Super Rare,1st Edition,Fire,PHNI-EN087,78905039,536461
Fire_98,1,Common,1st Edition,Fire,SR07-EN011,96163807,179264
Fire_99,1,Common,1st Edition,Fire,5DS1-EN001,74093656,32962
Fire_100,1,Rare,1st Edition,Fire,DABL-EN034,16769305,450224
Fire_101,1,Common,Unlimited,Fire,SRL-081,60806437,120669
Fire_102,1,Common,1st Edition,Fire,JOTL-EN044,52639377,70842
Fire_103,1,Rare,1st Edition,Fire,LDK2-ENK32,911883,123556
Fire_104,1,Common,Unlimited,Fire,OP02-EN023,56747793,121120
Fire_105,1,Common,1st Edition,Fire,SDY-034,13945283,22640
Fire_106,1,Common,1st Edition,Fire,MIL1-EN046,77754945,116994
Fire_107,1,Super Rare,1st Edition,Fire,HISU-EN035,3486020,180363
Fire_108,1,Super Rare,1st Edition,Fire,DIFO-EN060,19942835,271749
Fire_109,1,Common,1st Edition,Fire,EXFO-EN001,14575467,158066
Fire_110,2,Common,1st Edition,Fire,NUMH-EN014,27971137,69997
