cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
water_1,1,Rare,1st Edition,Water,BLAR-EN031,43175027,217974
water_2,1,Common,1st Edition,Water,BLRR-EN008,899287,169386
water_3,1,Rare,1st Edition,Water,YGLD-ENC26,75500286,108310
water_4,1,Common,1st Edition,Water,EXFO-EN029,16632144,158094
water_5,1,Super Rare,1st Edition,Water,SDFC-EN044,65749035,232226
water_6,1,Common,1st Edition,Water,SBCB-EN162,26412047,228094
water_7,1,Rare,Limited,Water,LART-EN022,90238142,223689
water_8,1,Super Rare,1st Edition,Water,WIRA-EN041,56585883,111888
water_9,1,Common,Unlimited,Water,MRD-008,76812113,173924
water_10,1,Common,1st Edition,Water,SS02-ENC01,91932350,183687
water_11,1,Common,1st Edition,Water,LED4-EN006,12206212,183123
water_12,1,Secret Rare,1st Edition,Water,LDS3-EN138,4991081,276131
water_13,1,Common,1st Edition,Water,RATE-EN030,90365482,127284
water_14,1,Rare,1st Edition,Water,DP06-EN025,85854214,32183
water_15,1,Super Rare,1st Edition,Water,MIL1-EN004,70124586,116952
water_16,1,Rare,1st Edition,Water,PGL3-EN034,98069388,115818
water_17,1,Common,1st Edition,Water,JOTL-EN046,15028680,70844
water_18,1,Ultra Rare,1st Edition,Water,BLMM-EN031,97476032,635917
water_19,1,Common,1st Edition,Water,BROL-EN014,99328137,256304
water_20,1,Super Rare,1st Edition,Water,DABL-EN031,27882993,450221
water_21,1,Common,Unlimited,Water,OP04-EN026,79161790,130010
water_22,1,Rare,1st Edition,Water,DABL-EN086,3137279,450241
water_23,1,Common,1st Edition,Water,TDGS-EN077,85080048,27575
water_24,1,Common,1st Edition,Water,DABL-EN033,80275707,450223
water_25,1,Common,1st Edition,Water,LED8-EN034,72022087,251377
water_26,1,Ultra Rare,1st Edition,Water,ROTD-EN033,89617515,218909
water_27,1,Rare,Unlimited,Water,DLDI-EN005,69162969,108426
water_28,1,Rare,1st Edition,Water,SUDA-EN043,10515412,610865
water_29,1,Rare,1st Edition,Water,LODT-EN063,27551,26757
water_30,1,Common,1st Edition,Water,PHSW-EN070,57115864,57330
water_31,1,Common,1st Edition,Water,ABYR-EN076,96474800,67278
water_32,1,Common,1st Edition,Water,SS01-ENA17,77414722,183733
water_33,1,Rare,Unlimited,Water,MACR-EN051,40252269,131168
water_34,1,Rare,1st Edition,Water,EXFO-EN030,53620899,158095
water_35,1,Rare,1st Edition,Water,REDU-EN096,21524779,60246
water_36,1,Common,1st Edition,Water,YGLD-ENA34,27827272,108236
water_37,1,Secret Rare,1st Edition,Water,SDFC-EN030,84206435,232213
water_38,1,Common,1st Edition,Water,SDFC-EN016,88494899,232199
water_39,1,Ultra Rare,1st Edition,Water,PRIO-EN005,87047161,82639
water_40,1,Ultra Rare,1st Edition,Water,SR06-EN037,15800838,165513
water_41,1,Common,1st Edition,Water,SGX1-END20,34815282,266284
water_42,1,Ultra Rare,1st Edition,Water,BLTR-EN007,9396662,554857
water_43,1,Rare,1st Edition,Water,STBL-EN089,29795530,38623
water_44,1,Common,1st Edition,Water,GFTP-EN076,14983497,235842
water_45,1,Super Rare,1st Edition,Water,SR01-EN007,4929256,111655
water_46,1,Common,Unlimited,Water,OP01-EN024,43040603,115976
water_47,1,Rare,1st Edition,Water,POTE-EN084,73244186,280049
water_48,1,Common,Unlimited,Water,SRL-090,57839750,120678
water_49,1,Common,1st Edition,Water,CIBR-EN041,4848423,148322
water_50,1,Rare,Unlimited,Water,OP10-EN021,69279219,188943
water_51,1,Rare,1st Edition,Water,HSRD-EN053,5318639,106050
water_52,1,Rare,1st Edition,Water,DIFO-EN082,80040886,271801
water_53,1,Rare,1st Edition,Water,SDSE-EN032,89882100,103938
water_54,1,Common,1st Edition,Water,PSV-035,17449108,22268
water_55,1,Common,1st Edition,Water,SDSE-EN031,2295440,103937
water_56,1,Common,1st Edition,Water,SDJ-022,93920745,23005
water_57,1,Ultra Rare,1st Edition,Water,FUEN-EN044,63356631,127835
water_58,1,Rare,1st Edition,Water,ETCO-EN000,83682209,213296
water_59,1,Rare,1st Edition,Water,SDCH-EN028,65046521,224993
water_60,1,Rare,1st Edition,Water,INOV-EN065,64014615,124769
water_61,1,Ultra Rare,1st Edition,Water,HSRD-EN056,98645731,106053
water_62,1,Common,1st Edition,Water,RGBT-EN076,11373345,31919
water_63,1,Common,1st Edition,Water,LED8-EN056,27980138,251423
water_64,1,Common,1st Edition,Water,PGL3-EN080,58577036,115865
water_65,1,Rare,1st Edition,Water,COTD-EN078,96404912,139251
water_66,1,Rare,1st Edition,Water,TDGS-EN061,99995595,27559
water_67,1,Ultra Rare,1st Edition,Water,SDFC-EN002,18319762,232185
water_68,1,Rare,Unlimited,Water,DEM2-EN018,56120475,145552
water_69,1,Ultra Rare,1st Edition,Water,IOC-096,96947648,23183
water_70,1,Common,1st Edition,Water,SDMP-EN032,73915051,108831
water_71,1,Ultra Rare,1st Edition,Water,LEHD-ENB37,76774528,177666
water_72,1,Rare,1st Edition,Water,MP15-EN081,77723643,105219
water_73,1,Common,1st Edition,Water,SS01-ENV01,33904024,183714
water_74,1,Rare,1st Edition,Water,BROL-EN029,31059809,256319
water_75,1,Common,1st Edition,Water,IOC-093,97169186,23180
water_76,1,Common,1st Edition,Water,BACH-EN099,16720314,262366
water_77,1,Common,1st Edition,Water,ANPR-EN054,86780027,33177
water_78,1,Rare,1st Edition,Water,SR01-EN030,68005187,111677
water_79,1,Common,Unlimited,Water,DEM2-EN010,36119641,145544
water_80,1,Rare,1st Edition,Water,SHVI-EN039,26517393,117932
water_81,1,Secret Rare,1st Edition,Water,HSRD-EN043,83994433,106040
water_82,1,Common,1st Edition,Water,SDFC-EN012,50032342,232195
water_83,1,Common,1st Edition,Water,SDSE-EN016,18964575,103922
water_84,1,Rare,1st Edition,Water,BLHR-EN024,30348744,193611
water_85,1,Common,1st Edition,Water,IOC-060,78060096,23147
water_86,1,Rare,1st Edition,Water,JOTL-EN090,14466224,70888
water_87,1,Common,1st Edition,Water,YS16-EN037,36361633,118471
water_88,1,Super Rare,1st Edition,Water,ABYR-EN098,48049769,67301
water_89,1,Common,1st Edition,Water,LTGY-EN071,7092142,68211
water_90,1,Super Rare,Unlimited,Water,HL04-EN006,53582587,100019
water_91,1,Common,1st Edition,Water,ALIN-EN085,48882106,629477
water_92,1,Rare,1st Edition,Water,SDPL-EN035,59616123,173599
water_93,1,Common,Unlimited,Water,COTD-EN032,45221020,139196
water_94,1,Super Rare,1st Edition,Water,BOSH-EN067,43898403,111166
water_95,1,Common,1st Edition,Water,GENF-EN068,51324455,48087
water_96,1,Rare,1st Edition,Water,LDK2-ENK32,911883,123556
water_97,1,Common,Unlimited,Water,OP02-EN023,56747793,121120
water_98,1,Rare,1st Edition,Water,HA06-EN007,74064212,60050
water_99,1,Common,1st Edition,Water,SBAD-EN033,49669730,190917
water_100,1,Common,1st Edition,Water,GAOV-EN001,87151205,58999
water_101,1,Rare,Limited,Water,LART-EN068,56993277,565597
water_102,1,Super Rare,1st Edition,Water,PHSW-EN028,88205593,57288
water_103,1,Common,1st Edition,Water,STBL-EN028,97885363,38562
water_104,1,Common,1st Edition,Water,TSHD-EN026,46897277,34973
water_105,1,Rare,1st Edition,Water,DUOV-EN064,402568,210272
water_106,1,Common,1st Edition,Water,STOR-EN032,32548609,39321
