cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Ape Fighter,1,Common,1st Edition,Blazing Genesis,BP02-EN093,41098335,41098335
Bacon Saver,1,Common,1st Edition,Blazing Genesis,BP02-EN119,82593786,82593786
Battlin' Boxer Glassjaw,1,Common,1st Edition,Blazing Genesis,MP14-EN003,5361647,5361647
Battlin' Boxer Shadow,1,Common,1st Edition,Blazing Genesis,LD10-EN056,35537251,35537251
Beast Striker,1,Common,1st Edition,Blazing Genesis,RGBT-EN085,21362970,21362970
Botanical Girl,1,Common,1st Edition,Blazing Genesis,CSOC-EN027,84824601,84824601
Copy Plant,1,Common,1st Edition,Blazing Genesis,AP05-EN015,66457407,66457407
D.D. Crazy Beast,1,Common,1st Edition,Blazing Genesis,DR1-EN074,48148828,48148828
D.D. Warrior,1,Common,1st Edition,Blazing Genesis,LCYW-EN218,37043180,37043180
Dark Cat with White Tail,1,Common,1st Edition,Blazing Genesis,DR1-EN138,8634636,8634636
Desert Twister,1,Common,1st Edition,Blazing Genesis,STP5-EN022,81977953,81977953
Desmanian Devil,1,Common,1st Edition,Blazing Genesis,MP18-EN191,42908201,42908201
Divine Knight Ishzark,1,Common,1st Edition,Blazing Genesis,LCJW-EN046,57902462,57902462
Eka the Flame Buddy,1,Common,1st Edition,Blazing Genesis,MP23-EN130,35283277,35283277
Evilswarm Mandragora,1,Common,1st Edition,Blazing Genesis,DT07-EN028,8814959,8814959
Evilswarm O'lantern,1,Common,1st Edition,Blazing Genesis,BP03-EN099,72429240,72429240
Evilswarm Obliviwisp,1,Common,1st Edition,Blazing Genesis,DT07-EN073,5284653,5284653
Evocator Chevalier,1,Common,1st Edition,Blazing Genesis,BP02-EN085,96872283,96872283
Exiled Force,1,Common,1st Edition,Blazing Genesis,BP01-EN059,74131780,74131780
Heavy Knight of the Flame,1,Common,1st Edition,Blazing Genesis,SGX3-ENC12,34761062,34761062
Knight of the Red Lotus,1,Common,1st Edition,Blazing Genesis,SOVR-EN032,46237548,46237548
Koa'ki Meiru Gravirose,1,Common,1st Edition,Blazing Genesis,ANPR-EN083,41201555,41201555
Krawler Dendrite,1,Common,1st Edition,Blazing Genesis,CIBR-EN021,46083111,46083111
Lock Cat,1,Common,1st Edition,Blazing Genesis,DREV-EN033,52346240,52346240
Lord Poison,1,Common,1st Edition,Blazing Genesis,BP03-EN009,40320754,40320754
Moja,1,Common,1st Edition,Blazing Genesis,RGBT-ENPP4,94878265,94878265
Neo Flamvell Hedgehog,1,Common,1st Edition,Blazing Genesis,DT04-EN062,2377034,2377034
Newdoria,1,Common,1st Edition,Blazing Genesis,DR1-EN005,4335645,4335645
Photon Sabre Tiger,1,Common,1st Edition,Blazing Genesis,EGO1-EN013,80495985,80495985
Red-Eyes Zombie Dragon,1,Common,1st Edition,Blazing Genesis,LCJW-EN206,5186893,5186893
"Rose, Warrior of Revenge",1,Common,1st Edition,Blazing Genesis,CSOC-EN000,1557341,1557341
Scapeghost,1,Common,1st Edition,Blazing Genesis,MP17-EN084,67284107,67284107
Sea Koala,1,Common,1st Edition,Blazing Genesis,BP03-EN038,87685879,87685879
Silvervine Senri,1,Common,1st Edition,Blazing Genesis,BACH-EN031,13382806,13382806
Sylvan Bladefender,1,Common,1st Edition,Blazing Genesis,MP14-EN186,11682713,11682713
Sylvan Marshalleaf,1,Common,1st Edition,Blazing Genesis,MP14-EN198,36046926,36046926
T.G. Rush Rhino,1,Common,1st Edition,Blazing Genesis,BATT-EN020,36687247,36687247
Tatsunecro,1,Common,1st Edition,Blazing Genesis,GFP2-EN112,3096468,3096468
Tree Otter,1,Common,1st Edition,Blazing Genesis,BP03-EN062,71759912,71759912
Twilight Rose Knight,1,Common,1st Edition,Blazing Genesis,CRMS-EN011,2986553,2986553
Valkyrian Knight,1,Common,1st Edition,Blazing Genesis,CBLZ-EN039,99348756,99348756
Violet Witch,1,Common,1st Edition,Blazing Genesis,CRMS-EN097,62379337,62379337
Wind-Up Kitten,1,Common,1st Edition,Blazing Genesis,MAZE-EN041,25716180,25716180
"Yellow Baboon, Archer of the Forest",1,Common,1st Edition,Blazing Genesis,SOVR-EN084,65303664,65303664
Gunkan Suship Shari,1,Common,1st Edition,Blazing Genesis,MP22-EN127,24639891,24639891
Tune Warrior,1,Common,1st Edition,Blazing Genesis,5DS3-EN003,74093656,74093656
Zombino,1,Common,1st Edition,Blazing Genesis,MP18-EN169,14575467,14575467
Autonomous Action Unit,1,Common,1st Edition,Blazing Genesis,BP02-EN140,71453557,71453557
Creature Swap,1,Common,1st Edition,Blazing Genesis,BP03-EN144,31036355,31036355
Dark Core,1,Common,1st Edition,Blazing Genesis,DR1-EN090,70231910,70231910
Darkworld Shackles,1,Common,1st Edition,Blazing Genesis,BP01-EN083,83584898,83584898
Gaia Power,1,Common,1st Edition,Blazing Genesis,DB1-EN059,56594520,56594520
Molten Destruction,1,Common,1st Edition,Blazing Genesis,DB1-EN061,19384334,19384334
Nobleman of Extermination,1,Common,1st Edition,Blazing Genesis,DB1-EN089,17449108,17449108
Shield Crush,1,Common,1st Edition,Blazing Genesis,BP01-EN080,30683373,30683373
Super Solar Nutrient,1,Common,1st Edition,Blazing Genesis,AP03-EN024,28529976,28529976
United We Stand,1,Common,1st Edition,Blazing Genesis,BP01-EN043,56747793,56747793
Divine Wrath,1,Common,1st Edition,Blazing Genesis,BP01-EN054,49010598,49010598
Level Limit - Area A,1,Common,1st Edition,Blazing Genesis,AP07-EN013,54976796,54976796
Dark Bribe,1,Common,1st Edition,Blazing Genesis,BP03-EN202,77538567,77538567
Black Brutdrago,1,Common,1st Edition,Blazing Genesis,SOVR-EN043,96029574,96029574
HTS Psyhemuth,1,Common,1st Edition,Blazing Genesis,JOTL-EN046,15028680,15028680
Laval Dual Slasher,1,Common,1st Edition,Blazing Genesis,PHSW-EN092,31632536,31632536
Thunder Unicorn,1,Common,1st Edition,Blazing Genesis,DREV-EN040,77506119,77506119
Interdimensional Matter Transporter,1,Common,1st Edition,Blazing Genesis,KC01-EN057,36261276,36261276
Magic Jammer,1,Common,1st Edition,Blazing Genesis,DB2-EN074,77414722,77414722
Proof of Powerlessness,1,Common,1st Edition,Blazing Genesis,RGBT-EN076,11373345,11373345
Sakuretsu Armor,1,Common,1st Edition,Blazing Genesis,CP01-EN004,56120475,56120475
Seven Tools of the Bandit,1,Common,1st Edition,Blazing Genesis,DB2-EN075,3819470,3819470
Baby Raccoon Tantan,1,Rare,1st Edition,Blazing Genesis,MP14-EN137,28118128,28118128
Battlin' Boxer Rabbit Puncher,1,Rare,1st Edition,Blazing Genesis,MP14-EN131,61679541,61679541
