cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Amazoness Trainee,1,Common,1st Edition,Power of the Primordial,PP-EN001,89567993,89567993
Archfiend of Gilfer,1,Common,1st Edition,Power of the Primordial,PP-EN002,50287060,50287060
Babycerasaurus,1,Common,1st Edition,Power of the Primordial,PP-EN003,36042004,36042004
Beatraptor,1,Common,1st Edition,Power of the Primordial,PP-EN004,46924949,46924949
"Beiige, Vanguard of Dark World",1,Common,1st Edition,Power of the Primordial,PP-EN005,33731070,33731070
Black Brachios,1,Common,1st Edition,Power of the Primordial,PP-EN006,50896944,50896944
Blade Knight,1,Common,1st Edition,Power of the Primordial,PP-EN007,39507162,39507162
Blue Rose Dragon,1,Common,1st Edition,Power of the Primordial,PP-EN008,98884569,98884569
Chaos Valkyria,1,Common,1st Edition,Power of the Primordial,PP-EN009,53871273,53871273
Dark Resonator,1,Common,1st Edition,Power of the Primordial,PP-EN010,97021916,97021916
Dinowrestler Capaptera,1,Common,1st Edition,Power of the Primordial,PP-EN011,93507434,93507434
Dinowrestler Iguanodraka,1,Common,1st Edition,Power of the Primordial,PP-EN012,61269611,61269611
Dinowrestler Systegosaur,1,Common,1st Edition,Power of the Primordial,PP-EN013,56980148,56980148
Dipsea Fiend,1,Common,1st Edition,Power of the Primordial,PP-EN014,66472129,66472129
"Dogoran, the Mad Flame Kaiju",1,Common,1st Edition,Power of the Primordial,PP-EN015,93332803,93332803
Double Resonator,1,Common,1st Edition,Power of the Primordial,PP-EN016,60832978,60832978
Edge Imp Sabres,1,Common,1st Edition,Power of the Primordial,PP-EN017,30068120,30068120
Evilswarm Salamandra,1,Common,1st Edition,Power of the Primordial,PP-EN018,4058065,4058065
Evolsaur Cerato,1,Common,1st Edition,Power of the Primordial,PP-EN019,80651316,80651316
Evolsaur Diplo,1,Common,1st Edition,Power of the Primordial,PP-EN020,17045014,17045014
Evoltile Westlo,1,Common,1st Edition,Power of the Primordial,PP-EN021,81873903,81873903
Fabled Grimro,1,Common,1st Edition,Power of the Primordial,PP-EN022,24040093,24040093
Fabled Lurrie,1,Common,1st Edition,Power of the Primordial,PP-EN023,97651498,97651498
Fabled Raven,1,Common,1st Edition,Power of the Primordial,PP-EN024,47217354,47217354
Fiendish Rhino Warrior,1,Common,1st Edition,Power of the Primordial,PP-EN025,81035362,81035362
Ghost Ship,1,Common,1st Edition,Power of the Primordial,PP-EN026,33347467,33347467
Gravekeeper's Nobleman,1,Common,1st Edition,Power of the Primordial,PP-EN027,85646474,85646474
Gren Maju Da Eiza,1,Common,1st Edition,Power of the Primordial,PP-EN028,36584821,36584821
Inari Fire,1,Common,1st Edition,Power of the Primordial,PP-EN029,62953041,62953041
Infernity Conjurer,1,Common,1st Edition,Power of the Primordial,PP-EN030,48144778,48144778
Jurrac Guaiba,1,Common,1st Edition,Power of the Primordial,PP-EN031,11012887,11012887
Jurrac Velo,1,Common,1st Edition,Power of the Primordial,PP-EN032,59312550,59312550
"Kahkki, Guerilla of Dark World",1,Common,1st Edition,Power of the Primordial,PP-EN033,25847467,25847467
Laval Archer,1,Common,1st Edition,Power of the Primordial,PP-EN034,30303854,30303854
Laval Lancelord,1,Common,1st Edition,Power of the Primordial,PP-EN035,123709,123709
Magical Something,1,Common,1st Edition,Power of the Primordial,PP-EN036,43930492,43930492
Phantom Skyblaster,1,Common,1st Edition,Power of the Primordial,PP-EN037,12958919,12958919
Snake-Eye Birch,1,Common,1st Edition,Power of the Primordial,PP-EN038,12058741,12058741
Stygian Street Patrol,1,Common,1st Edition,Power of the Primordial,PP-EN039,13521194,13521194
Submareed Tour Ride,1,Common,1st Edition,Power of the Primordial,PP-EN040,87116749,87116749
Sylvan Peaskeeper,1,Common,1st Edition,Power of the Primordial,PP-EN041,63257623,63257623
"Tlakalel, His Malevolent Majesty",1,Common,1st Edition,Power of the Primordial,PP-EN042,82319644,82319644
Upstart Golden Ninja,1,Common,1st Edition,Power of the Primordial,PP-EN043,58911105,58911105
Gem-Knight Crystal,1,Common,1st Edition,Power of the Primordial,PP-EN044,76908448,76908448
Megalosmasher X,1,Common,1st Edition,Power of the Primordial,PP-EN045,81823360,81823360
Circle of the Fire Kings,1,Common,1st Edition,Power of the Primordial,PP-EN046,59388357,59388357
Divine Sword - Phoenix Blade,1,Common,1st Edition,Power of the Primordial,PP-EN047,31423101,31423101
Downbeat,1,Common,1st Edition,Power of the Primordial,PP-EN048,96540,96540
Jurassic Power,1,Common,1st Edition,Power of the Primordial,PP-EN049,99531088,99531088
Miracle Dig,1,Common,1st Edition,Power of the Primordial,PP-EN050,6343408,6343408
Spacetime Transcendence,1,Common,1st Edition,Power of the Primordial,PP-EN051,39041729,39041729
Terraforming,1,Common,1st Edition,Power of the Primordial,PP-EN052,73628505,73628505
Void Expansion,1,Common,1st Edition,Power of the Primordial,PP-EN053,34822850,34822850
Accumulated Fortune,1,Common,1st Edition,Power of the Primordial,PP-EN054,98444741,98444741
Beckoning Light,1,Common,1st Edition,Power of the Primordial,PP-EN055,16255442,16255442
Brutal Beast Battle,1,Common,1st Edition,Power of the Primordial,PP-EN056,36809777,36809777
Ghosts From the Past,1,Common,1st Edition,Power of the Primordial,PP-EN057,51099515,51099515
Ninjitsu Art of Transformation,1,Common,1st Edition,Power of the Primordial,PP-EN058,70861343,70861343
Paleozoic Hallucigenia,1,Common,1st Edition,Power of the Primordial,PP-EN059,61420130,61420130
Paleozoic Pikaia,1,Common,1st Edition,Power of the Primordial,PP-EN060,24903843,24903843
D/D/D Gust High King Alexander,1,Common,1st Edition,Power of the Primordial,PP-EN061,6766208,6766208
"Gashadokuro, the Skeletal Mayakashi",1,Common,1st Edition,Power of the Primordial,PP-EN062,39475024,39475024
Jurrac Giganoto,1,Common,1st Edition,Power of the Primordial,PP-EN063,80032567,80032567
Jurrac Meteor,1,Common,1st Edition,Power of the Primordial,PP-EN064,17548456,17548456
"Puralis, the Purple Pyrotile",1,Common,1st Edition,Power of the Primordial,PP-EN065,37038993,37038993
Purushaddoll Aeon,1,Common,1st Edition,Power of the Primordial,PP-EN066,78942513,78942513
Agnimal Candle,1,Rare,1st Edition,Power of the Primordial,PP-EN067,13014905,13014905
Animadorned Archosaur,1,Rare,1st Edition,Power of the Primordial,PP-EN068,98022050,98022050
"Broww, Huntsman of Dark World",1,Rare,1st Edition,Power of the Primordial,PP-EN069,79126789,79126789
Caninetaur,1,Rare,1st Edition,Power of the Primordial,PP-EN070,91754175,91754175
Delta The Magnet Warrior,1,Rare,1st Edition,Power of the Primordial,PP-EN071,12262393,12262393
Double-Headed Dino King Rex,1,Rare,1st Edition,Power of the Primordial,PP-EN072,55349196,55349196
Evocator Eveque,1,Rare,1st Edition,Power of the Primordial,PP-EN073,16146511,16146511
Flowerdino,1,Rare,1st Edition,Power of the Primordial,PP-EN074,10851853,10851853
Gravekeeper's Recruiter,1,Rare,1st Edition,Power of the Primordial,PP-EN075,93023479,93023479
Jurrac Dino,1,Rare,1st Edition,Power of the Primordial,PP-EN076,17948378,17948378
Kaitoptera,1,Rare,1st Edition,Power of the Primordial,PP-EN077,50834074,50834074
Magmacho Dragon,1,Rare,1st Edition,Power of the Primordial,PP-EN078,50951254,50951254
Ninja Grandmaster Hanzo,1,Rare,1st Edition,Power of the Primordial,PP-EN079,95027497,95027497
Petiteranodon,1,Rare,1st Edition,Power of the Primordial,PP-EN080,82946847,82946847
Proof of Pruflas,1,Rare,1st Edition,Power of the Primordial,PP-EN081,85847157,85847157
Scrap Raptor,1,Rare,1st Edition,Power of the Primordial,PP-EN082,80529459,80529459
T.G. Striker,1,Rare,1st Edition,Power of the Primordial,PP-EN083,1315120,1315120
Tour Guide From the Underworld,1,Rare,1st Edition,Power of the Primordial,PP-EN084,10802915,10802915
Witch of the Black Forest,1,Rare,1st Edition,Power of the Primordial,PP-EN085,78010363,78010363
Dark Corridor,1,Rare,1st Edition,Power of the Primordial,PP-EN086,98696958,98696958
Evo-Diversity,1,Rare,1st Edition,Power of the Primordial,PP-EN087,88760522,88760522
Sinful Spoils of Subversion - Snake-Eye,1,Rare,1st Edition,Power of the Primordial,PP-EN088,24081957,24081957
Jar of Avarice,1,Rare,1st Edition,Power of the Primordial,PP-EN089,98954106,98954106
Needlebug Nest,1,Rare,1st Edition,Power of the Primordial,PP-EN090,84968490,84968490
Ninjitsu Art of Super-Transformation,1,Rare,1st Edition,Power of the Primordial,PP-EN091,90200789,90200789
Paleozoic Canadia,1,Rare,1st Edition,Power of the Primordial,PP-EN092,98414735,98414735
Chaos King Archfiend,1,Rare,1st Edition,Power of the Primordial,PP-EN093,36407615,36407615
Fabled Leviathan,1,Rare,1st Edition,Power of the Primordial,PP-EN094,39477584,39477584
Infernity Doom Archfiend,1,Rare,1st Edition,Power of the Primordial,PP-EN095,38904695,38904695
Shiranui Samuraisaga,1,Rare,1st Edition,Power of the Primordial,PP-EN096,57288064,57288064
Adamancipator Crystal - Dragite,1,Super Rare,1st Edition,Power of the Primordial,PP-EN097,10286023,10286023
Dinowrestler Coelasilat,1,Super Rare,1st Edition,Power of the Primordial,PP-EN098,75366958,75366958
Evolsaur Lios,1,Super Rare,1st Edition,Power of the Primordial,PP-EN099,15171722,15171722
Fabled Krus,1,Super Rare,1st Edition,Power of the Primordial,PP-EN100,19439119,19439119
Fabled Kushano,1,Super Rare,1st Edition,Power of the Primordial,PP-EN101,97439806,97439806
Kyoro Ryu-Ge Kaiva,1,Super Rare,1st Edition,Power of the Primordial,PP-EN102,93509766,93509766
