cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Laval Judgment Lord,1,Secret Rare,1st Edition,Hellfire Heretics,DT05-EN029,14047624,14047624
Skull Dog Marron,3,Common,1st Edition,Hellfire Heretics,DR3-EN003,86652646,86652646
Flame Armor Ninja,3,Common,1st Edition,Hellfire Heretics,ORCS-EN013,33034646,33034646
Flamvell Baby,3,Common,1st Edition,Hellfire Heretics,DT02-EN022,13761956,13761956
Aromage Bergamot,1,Common,1st Edition,Hellfire Heretics,CORE-EN037,85967160,85967160
Master Kyonshee,3,Common,1st Edition,Hellfire Heretics,DR1-EN001,24530661,24530661
Man-Eater Bug,3,Common,1st Edition,Hellfire Heretics,DB1-EN131,54652250,54652250
Nettles,3,Common,1st Edition,Hellfire Heretics,CSOC-EN024,19505896,19505896
Berserk Gorilla,2,Common,1st Edition,Hellfire Heretics,BP03-EN008,39168895,39168895
Inferno,3,Common,1st Edition,Hellfire Heretics,DR2-EN019,74823665,74823665
Burning Spear,3,Common,1st Edition,Hellfire Heretics,TP1-010,18937875,18937875
Fissure,3,Common,1st Edition,Hellfire Heretics,STAS-EN022,66788016,66788016
Unexpected Dai,1,Common,1st Edition,Hellfire Heretics,CROS-EN065,911883,911883
Shard of Greed,3,Common,1st Edition,Hellfire Heretics,BP02-EN165,33904024,33904024
Trap Hole,3,Common,1st Edition,Hellfire Heretics,YS15-ENY17,4206964,4206964
Reinforcements,3,Common,1st Edition,Hellfire Heretics,DTP1-EN019,17814387,17814387
Michizure,3,Common,1st Edition,Hellfire Heretics,DT01-EN096,37580756,37580756
Dust Tornado,3,Common,1st Edition,Hellfire Heretics,YS15-END18,60082869,60082869
Blast with Chain,3,Common,1st Edition,Hellfire Heretics,BP03-EN194,98239899,98239899
Hi-Speedroid Puzzle,2,Common,1st Edition,Hellfire Heretics,MP17-EN026,86943389,86943389
Shiranui Swordsaga,2,Common,1st Edition,Hellfire Heretics,SAST-EN040,26326541,26326541
"Gaia Knight, the Force of Earth",2,Common,1st Edition,Hellfire Heretics,DEM4-EN008,97204936,97204936
Scrap Archfiend,2,Common,1st Edition,Hellfire Heretics,DREV-EN000,45815891,45815891
Tilting Entrainment,2,Common,1st Edition,Hellfire Heretics,DABL-EN083,77855162,77855162
