cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Silent Abyss,1,Secret Rare,1st Edition,Starter Deck Water,COTM-EN001,86442081,86442081
Orca Mega-Fortress of Darkness,1,Common,1st Edition,Starter Deck Water,COTM-EN002,63120904,63120904
Bitelon,3,Common,1st Edition,Starter Deck Water,COTM-EN003,44702857,44702857
Aqua Madoor,3,Common,1st Edition,Starter Deck Water,COTM-EN004,85639257,85639257
Space Mambo,3,Common,1st Edition,Starter Deck Water,COTM-EN005,36119641,36119641
Water Spirit,3,Common,1st Edition,Starter Deck Water,COTM-EN006,487395,487395
Hammer Shark,3,Common,1st Edition,Starter Deck Water,COTM-EN007,17201174,17201174
Green Turtle Summoner,3,Common,1st Edition,Starter Deck Water,COTM-EN008,54747648,54747648
Axe Dragonute,3,Common,1st Edition,Starter Deck Water,COTM-EN009,84914462,84914462
Hunter Dragon,3,Common,1st Edition,Starter Deck Water,COTM-EN010,96005454,96005454
Wattbetta,3,Common,1st Edition,Starter Deck Water,COTM-EN011,18407024,18407024
Aqua Spirit,3,Common,1st Edition,Starter Deck Water,COTM-EN012,40916023,40916023
Slime Toad,2,Common,1st Edition,Starter Deck Water,COTM-EN013,68638985,68638985
Steel Shell,3,Common,1st Edition,Starter Deck Water,COTM-EN014,2370081,2370081
Fissure,3,Common,1st Edition,Starter Deck Water,COTM-EN015,66788016,66788016
Unexpected Dai,1,Common,1st Edition,Starter Deck Water,COTM-EN016,911883,911883
Widespread Ruin,1,Common,1st Edition,Starter Deck Water,COTM-EN017,77754944,77754944
Sakuretsu Armor,1,Common,1st Edition,Starter Deck Water,COTM-EN018,56120475,56120475
Trap Hole,3,Common,1st Edition,Starter Deck Water,COTM-EN019,4206964,4206964
Reinforcements,3,Common,1st Edition,Starter Deck Water,COTM-EN020,17814387,17814387
Michizure,3,Common,1st Edition,Starter Deck Water,COTM-EN021,37580756,37580756
Raigeki Break,1,Common,1st Edition,Starter Deck Water,COTM-EN022,4178474,4178474
Dust Tornado,3,Common,1st Edition,Starter Deck Water,COTM-EN023,60082869,60082869
Blast with Chain,3,Common,1st Edition,Starter Deck Water,COTM-EN024,98239899,98239899
Battle of the Elements,1,Common,1st Edition,Starter Deck Water,COTM-EN025,60530944,60530944
Hi-Speedroid Puzzle,2,Common,1st Edition,Starter Deck Water,COTM-EN026,86943389,86943389
Shiranui Swordsaga,2,Common,1st Edition,Starter Deck Water,COTM-EN027,26326541,26326541
"Gaia Knight, the Force of Earth",2,Common,1st Edition,Starter Deck Water,COTM-EN028,97204936,97204936
Scrap Archfiend,2,Common,1st Edition,Starter Deck Water,COTM-EN029,45815891,45815891
Tilting Entrainment,2,Common,1st Edition,Starter Deck Water,COTM-EN030,77855162,77855162
