cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Trident Dragon,1,Starlight Rare,,Fire_Start,,,
Mr. Volcano,1,Common,,Fire_Start,,,
SFire_1,3,Common,,Fire_Start,,,
SFire_2,3,Common,,Fire_Start,,,
SFire_3,3,Common,,Fire_Start,,,
SFire_4,3,Common,,Fire_Start,,,
SFire_5,3,Common,,Fire_Start,,,
SFire_6,3,Common,,Fire_Start,,,
SFire_7,3,Common,,Fire_Start,,,
SFire_8,3,Common,,Fire_Start,,,
SFire_9,3,Common,,Fire_Start,,,
SFire_10,3,Common,,Fire_Start,,,
SFire_11,3,Common,,Fire_Start,,,
SFire_12,3,Common,,Fire_Start,,,
SFire_13,3,Common,,Fire_Start,,,
Dust Tornado,1,Common,,Fire_Start,,,
Mirror Force,1,Common,,Fire_Start,,,
