cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Ice Queen,1,Starlight Rare,,Water_Start,,,
Orca Mega-Fortress of Darkness,1,Common,,Water_Start,,,
SWater_1,3,Common,,Water_Start,,,
SWater_2,3,Common,,Water_Start,,,
SWater_3,3,Common,,Water_Start,,,
SWater_4,3,Common,,Water_Start,,,
SWater_5,3,Common,,Water_Start,,,
SWater_6,3,Common,,Water_Start,,,
SWater_7,3,Common,,Water_Start,,,
SWater_8,3,Common,,Water_Start,,,
SWater_9,3,Common,,Water_Start,,,
SWater_10,3,Common,,Water_Start,,,
SWater_11,3,Common,,Water_Start,,,
SWater_12,3,Common,,Water_Start,,,
SWater_13,3,Common,,Water_Start,,,
Dust Tornado,1,Common,,Water_Start,,,
Torrential Tribute,1,Common,,Water_Start,,,
